instruction[8..0] sub_stage[2..0] carry barrow comp | RSC MA_In M_I M_O IR_I IR_O PC_O PC_Up PC_jmp ALU_inst[3..0] A_I A_O N1_I N1_O N2_I N2_O R0I R0O R1I R1O R2I R2O
    000010101           110         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000010110           010         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000010110           011         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000010110           100         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000010110           101         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000010110           110         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000010111           010         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000010111           011         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000010111           100         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000010111           101         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000010111           110         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000011000           010         -     -     -   |  0    0    0   0   0    1    0     0     0         0000       0   0   1    0    0    0    0   0   0   0   0   0
    000011000           011         -     -     -   |  1    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000011000           100         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000011000           101         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000011000           110         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000011001           010         -     -     -   |  0    0    0   0   0    1    0     0     0         0000       0   0   0    0    1    0    0   0   0   0   0   0
    000011001           011         -     -     -   |  1    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000011001           100         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000011001           101         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
